,Name,TenforeId,ReturnM0,ReturnM12,ReturnM36,ReturnM60,StandardDeviationM36,SharpeM36,TrackRecordExtension,ReturnM120,AlphaM36,BetaM36
210,Candriam Eqs L Rsk Arbtrg Opp C EUR Acc,52.8.LU2223682944,-3.1,-5.63,,,,,False,,,
211,Candriam Eqs L Rsk Arbtrg Opp I EUR Acc,52.8.LU2223683082,-2.63,-5.05,,,,,False,,,
212,Candriam Eqs L Rsk Arbtrg Opp R EUR Acc,52.8.LU2223683322,-2.75,-5.21,,,,,False,,,
213,Candriam Risk Arbitrage C,52.8.FR0000438707,0.37,-1.39,-0.04,-0.16,2.24,-0.11,False,0.01,-0.59,0.97
214,Candriam Risk Arbitrage I,52.8.FR0013353570,0.53,-1.19,0.15,0.01,2.22,-0.03,False,,-0.39,0.97
215,Candriam Risk Arbitrage N,52.8.FR0010988055,-0.14,-2.0,-0.67,-0.76,2.26,-0.39,False,-0.55,-1.22,0.97
216,Candriam Risk Arbitrage R,52.8.FR0013312345,0.53,-1.19,0.13,,2.22,-0.04,False,,-0.42,0.97
217,Carmignac Pf Merger Arbitrage A EUR Acc,52.8.LU2585800795,,,,,,,False,,,
218,Carmignac Pf Merger Arbitrage F EUR Acc,52.8.LU2585800878,,,,,,,False,,,
219,Carmignac Pf Merger Arbitrage I EUR Acc,52.8.LU2585801090,,,,,,,False,,,
220,Carmignac Pf Merger Arb Plus A EUR Acc,52.8.LU2585801256,,,,,,,False,,,
221,Carmignac Pf Merger Arb Plus F EUR Acc,52.8.LU2585801173,,,,,,,False,,,
222,Carmignac Pf Merger Arb Plus I EUR Acc,52.8.LU2585801330,,,,,,,False,,,
223,Cygnus Europa Event Driven Fdr A USD Acc,,-21.33,-25.45,-4.45,2.66,18.42,-0.17,False,8.17,,
224,Cygnus Europa Event Driven Fdr B EUR Acc,52.8.IE00BD73H780,1.31,-10.65,-9.83,,7.54,-1.28,False,,,
225,FranklinK2 Bardin Hill Arb A PF acc USD,52.8.LU2164517679,-0.06,-7.15,5.98,,7.56,0.78,False,,0.24,0.61
226,FranklinK2 Bardin Hill Arb EBPFaccEURH1,52.8.LU2039784488,-1.2,-0.46,2.04,,3.49,0.6,False,,-3.43,1.2
227,FranklinK2 Bardin Hill Arb EBPFaccUSD,52.8.LU2039784561,1.11,-5.95,7.42,,7.55,0.96,False,,1.61,0.61
228,FranklinK2 Bardin Hill Arb EOPFaccEURH1,52.8.LU2039784645,-1.12,-0.38,1.72,,3.42,0.53,False,,-3.72,1.19
229,FranklinK2 Bardin Hill Arb EOPFaccUSD,52.8.LU2039784728,0.94,-6.26,6.94,,7.52,0.89,False,,1.12,0.57
230,FranklinK2 Bardin Hill Arb IPFaccEURH1,52.8.LU2090055737,-1.41,-0.66,1.44,,3.5,0.44,False,,-4.0,1.2
231,FranklinK2 Bardin Hill Arb IPFaccUSD,52.8.LU2090055810,0.59,-6.57,6.72,,7.53,0.87,False,,0.9,0.61
232,FranklinK2 Bardin Hill Arb W PF acc USD,52.8.LU2164517752,0.59,-6.57,6.62,,7.55,0.86,False,,0.87,0.6
233,GAM Multistock - Merger Arbitrage B EUR,52.8.LU2551291557,1.32,1.17,1.58,0.77,1.89,0.66,True,,1.17,1.0
234,GAM Multistock - Merger Arbitrage R EUR,52.8.LU2551291631,1.57,1.54,2.04,1.3,1.83,0.96,True,,1.68,1.0
235,GAMCO Intl SICAV Merger Arbtrg A (CHF),52.8.LU0687944123,0.57,1.23,6.29,5.9,5.35,1.07,False,3.84,,
236,GAMCO Intl SICAV Merger Arbtrg A (EUR),52.8.LU0687943661,-2.02,-0.48,2.89,2.71,4.58,0.65,False,2.0,,
237,GAMCO Intl SICAV Merger Arbtrg A (USD),52.8.LU0687943745,0.33,-6.43,8.1,6.15,6.92,1.13,False,5.86,,
238,GAMCO Intl SICAV Merger Arbtrg I (EUR),52.8.LU0687944396,-1.56,-0.23,3.26,3.17,4.53,0.74,False,2.52,,
239,GAMCO Intl SICAV Merger Arbtrg I (USD),52.8.LU0687944552,0.77,-6.03,8.61,6.62,6.92,1.2,False,6.34,,
240,GAMCO Intl SICAV Merger Arbtrg R (EUR) H,52.8.LU1453361120,-1.43,-0.33,3.32,3.17,4.53,0.75,False,,,
241,GAMCO Intl SICAV Merger Arbtrg R (USD),52.8.LU1453360825,0.69,-6.11,8.52,6.54,6.92,1.18,False,,,
242,GAMCO Intl SICAV Merger Arbtrg S (EUR) H,52.8.LU2191334726,-1.26,0.06,3.46,,,,False,,,
243,GAMCO Intl SICAV Merger Arbtrg S (USD),52.8.LU2198665262,0.95,-5.87,8.83,,,,False,,,
244,Helium Fund B Clean EUR,52.8.LU1734046201,2.49,4.38,3.46,2.69,2.02,1.54,False,,3.59,1.11
245,Helium Fund Performance A EUR,52.8.LU0912261970,3.27,5.29,4.88,3.48,2.99,1.5,False,3.24,5.18,1.15
246,Helium Fund Performance B Clean EUR,52.8.LU1734046466,3.25,5.27,4.86,3.47,2.99,1.49,False,,5.15,1.15
247,Helium Fund Performance B EUR,52.8.LU0912262275,2.91,4.92,4.46,3.05,3.03,1.34,False,2.7,4.8,1.16
248,Helium Fund Performance E EUR,52.8.LU1569900605,3.31,5.36,5.15,3.66,3.07,1.54,False,,5.47,1.16
249,Helium Fund Performance E USD,52.8.LU1569902999,5.41,-0.77,10.62,7.05,7.15,1.37,False,,5.43,0.16
250,Helium Fund Performance S EUR,52.8.LU0912262358,3.47,5.53,5.33,3.84,3.07,1.6,False,3.65,5.64,1.16
251,O'Connor Event Driven UCITS E EUR Acc,52.8.IE00BKX8M260,2.06,0.3,,,,,False,,,
252,O'Connor Event Driven UCITS E USD Acc,52.8.IE00BKX8M377,3.75,-5.72,,,,,False,,,
253,O'Connor Event Driven UCITS I1 EUR Acc,52.8.IE00BMCFJ106,1.52,0.08,,,,,False,,,
254,O'Connor Event Driven UCITS I1 USD Acc,52.8.IE00BMCFJ213,3.22,-6.36,,,,,False,,,
255,KLS Athos Event Driven F-EUR Acc,52.8.IE00BN7J4R53,-1.03,0.45,,,,,False,,,
256,KLS Athos Event Driven F-GBP Acc,52.8.IE00BN7J4S60,1.93,1.68,,,,,False,,,
257,KLS Athos Event Driven F-USD Acc,52.8.IE00BN7J4Q47,1.68,-4.24,,,,,False,,,
258,KLS Athos Event Driven I-CHF Acc,,0.44,-1.96,,,,,False,,,
259,KLS Athos Event Driven I-EUR Acc,52.8.IE00BN7J4W07,-1.43,-0.05,,,,,False,,,
260,KLS Athos Event Driven I-GBP Acc,52.8.IE00BN7J4X14,,,,,,,False,,,
261,KLS Athos Event Driven I-USD Acc,52.8.IE00BN7J4V99,,,,,,,False,,,
262,KLS Athos Event Driven SI-EUR Acc,52.8.IE00BN7J5490,-1.23,0.2,,,,,False,,,
263,KLS Athos Event Driven SI-GBP Acc,52.8.IE00BN7J5508,1.73,1.33,,,,,False,,,
264,KLS Athos Event Driven SI-USD Acc,52.8.IE00BN7J5383,1.45,-4.76,,,,,False,,,
265,KLS Athos Event Driven SIF-USD Acc,52.8.IE00BMQC6P09,0.66,-5.43,,,,,False,,,
266,Liberbank Europa Opportunities A FI,52.8.ES0111011039,-5.32,-2.72,,,,,False,,,
267,Liberbank Europa Opportunities P FI,52.8.ES0111011013,-4.79,,,,,,False,,,
268,LO Fd Event Convexity CHF N SYS H Acc,52.8.LU1298042208,,,,,,,False,,,
269,LO Fd Event Convexity CHF P SYS H Acc,52.8.LU1298043354,,,,,,,False,,,
270,LO Fd Event Convexity EUR N SYS H Acc,,,,,,,,False,,,
271,LO Fd Event Convexity GBP P SYS H Acc,52.8.LU1298045995,,,,,,,False,,,
272,LO Fd Event Driven CHF M SYS NAVH,52.8.LU1924981126,3.53,3.34,2.15,,4.49,0.35,False,,,
273,LO Fd Event Driven EUR M SYS NAVH Acc,52.8.LU1924980664,1.01,1.36,-1.21,,2.86,-0.47,False,,,
274,LO Fd Event Driven EUR N SYS NAVH Acc,52.8.LU1924980821,1.1,1.47,-1.11,,2.86,-0.44,False,,,
275,LO Fd Event Driven EUR PA SYS NAVHAcc,,-6.55,-6.93,-1.3,,4.09,-0.21,False,,,
276,LO Fd Event Driven Uh USD N Acc,52.8.LU1924980409,3.3,-4.26,4.11,,7.07,0.55,False,,,
277,LO Fd Event Driven Uh USD P Acc,52.8.LU1924980581,2.86,-4.76,3.65,,7.06,0.49,False,,,
278,LO Fd Event Driven USD M Acc,52.8.LU1924980235,3.22,-4.36,4.02,,7.07,0.54,False,,,
279,Lumyna MY Asian Evn Drv CHF B Acc,52.8.LU0562701085,-2.8,-6.11,-2.05,,8.08,-0.23,False,,,
280,Lumyna MY Asian Evn Drv CHF C Acc,,3.99,-3.4,,,,,False,,,
281,Lumyna MY Asian Evn Drv EUR B Acc,52.8.LU0532510137,-5.14,-7.88,-5.38,2.41,8.5,-0.56,False,2.88,,
282,Lumyna MY Asian Evn Drv EUR C Acc,52.8.LU0532510483,-5.72,-8.58,-6.21,2.18,8.62,-0.65,False,,,
283,Lumyna MY Asian Evn Drv EUR D Acc,52.8.LU0532510996,-4.95,-7.65,-4.86,3.46,8.81,-0.48,False,3.98,,
284,Lumyna MY Asian Evn Drv EUR Z Acc,52.8.LU0860708980,-5.17,-7.91,-5.42,,8.5,-0.56,False,,,
285,Lumyna MY Asian Evn Drv GBP B2 Acc,52.8.LU0532510301,3.09,-3.61,,,,,False,,,
286,Lumyna MY Asian Evn Drv GBP B4 Acc,,4.98,,,,,,False,,,
287,Lumyna MY Asian Evn Drv GBP C2 Acc,52.8.LU0532510723,-2.88,-6.53,-3.76,3.0,8.84,-0.33,False,2.87,,
288,Lumyna MY Asian Evn Drv GBP D2 Acc,52.8.LU0532511291,3.26,-3.26,,,,,False,,,
289,Lumyna MY Asian Evn Drv GBP Z Acc,52.8.LU0860709012,,,,,,,False,,,
290,Lumyna MY Asian Evn Drv USD B1 Acc,52.8.LU0532510210,-3.07,-13.17,-0.45,5.76,10.93,0.03,False,7.14,,
291,Lumyna MY Asian Evn Drv USD C1 Acc,,,,,,12.68,-0.39,False,,5.3,0.08
292,Lumyna MY Asian Evn Drv USD D1 Acc,52.8.LU0532511028,-2.98,-12.16,0.41,7.12,10.94,0.11,False,8.3,,
293,Lumyna MY Asian Evn Drv USD Z Acc,52.8.LU1720797098,-3.5,,,,,,False,,,
294,Lumyna PSAM Global Event EUR A Acc,52.8.LU1951089439,-3.78,-4.11,0.54,1.32,4.75,0.14,True,1.96,,
295,Lumyna PSAM Global Event EUR A2 Acc,52.8.LU1951090015,-3.38,-3.62,1.11,1.94,4.8,0.26,True,,,
296,Lumyna PSAM Global Event EUR A3 Acc,52.8.LU1951088977,-3.79,-4.11,0.54,1.33,4.75,0.14,True,1.87,,
297,Lumyna PSAM Global Event EUR B Acc,52.8.LU1951090874,-3.79,-4.12,0.53,,4.75,0.14,False,,,
298,Lumyna PSAM Global Event EUR C Acc,52.8.LU1951091179,-4.19,-4.62,0.03,,,,False,,,
299,Lumyna PSAM Global Event EUR E Acc,52.8.LU1951090445,-4.19,-4.61,0.03,0.85,4.76,0.04,True,1.22,,
300,Lumyna PSAM Global Event EUR Y2 Acc,52.8.LU1995676241,-3.42,-3.66,1.31,,4.97,0.3,False,,,
301,Lumyna PSAM Global Event EUR Z Acc,52.8.LU1951091419,-3.81,-4.14,0.5,,4.75,0.14,False,,,
302,Lumyna PSAM Global Event GBP A Acc,52.8.LU1951089512,-0.75,-1.85,3.0,2.48,6.76,0.49,True,2.24,,
303,Lumyna PSAM Global Event GBP A3 Acc,52.8.LU1951089199,-0.75,-1.84,2.99,2.49,6.76,0.49,True,2.22,,
304,Lumyna PSAM Global Event GBP E Acc,52.8.LU1951090528,-1.18,-2.38,2.48,1.94,6.77,0.41,True,1.51,,
305,Lumyna PSAM Global Event GBP Z Acc,52.8.LU1951091500,-0.77,-1.88,2.97,,6.77,0.48,False,,,
306,Lumyna PSAM Global Event SEK A3 Acc,52.8.LU1951089355,-8.73,-9.58,-3.18,-0.94,8.92,-0.2,True,,,
307,Lumyna PSAM Global Event USD A Acc,52.8.LU1951089868,-1.68,-9.52,5.87,4.73,7.59,0.76,True,5.93,,
308,Lumyna PSAM Global Event USD A2 Acc,52.8.LU1951090361,-1.27,-9.06,6.47,5.37,7.6,0.83,True,,,
309,Lumyna PSAM Global Event USD A3 Acc,52.8.LU1951089272,-1.68,-9.53,5.84,4.72,7.59,0.76,True,5.85,,
310,Lumyna PSAM Global Event USD B Acc,52.8.LU1951091096,-1.68,-9.53,5.83,,7.6,0.76,False,,,
311,Lumyna PSAM Global Event USD C Acc,52.8.LU1951091336,-2.1,-10.0,,,,,False,,,
312,Lumyna PSAM Global Event USD E Acc,52.8.LU1951090791,-2.11,-10.02,5.31,4.16,7.59,0.69,True,5.14,,
313,Lumyna PSAM Global Event USD Z Acc,52.8.LU1951091765,-1.71,-9.56,5.85,,7.61,0.76,False,,,
314,Man GLG Event Driven Alternative DN CHFH,52.8.IE00BNXH7D05,4.35,3.9,,,,,False,,,
315,Man GLG Event Driven Alternative DN EURH,52.8.IE00BJBLGL74,1.57,1.62,3.28,,3.08,1.22,False,,,
316,Man GLG Event Driven Alternative DN USD,52.8.IE00BJBLGM81,3.29,-4.71,8.4,,8.11,1.07,False,,,
317,Man GLG Event Driven AlternativeDNFYEURH,52.8.IE00BKDV7869,1.71,1.82,3.51,,3.04,1.3,False,,,
318,Man GLG Event Driven Alternative DNFYUSD,52.8.IE00BKDV7752,3.46,-4.51,8.6,,8.08,1.1,False,,,
319,Man GLG Event Driven Alternative IN CHFH,52.8.IE00BNXH7C97,4.76,4.44,,,,,False,,,
320,Man GLG Event Driven Alternative IN EURH,52.8.IE00BJJNH014,2.01,2.17,3.89,,3.03,1.42,False,,,
321,Man GLG Event Driven Alternative IN GBPH,52.8.IE00BJJNGX70,4.99,4.29,6.35,,5.78,1.19,False,,,
322,Man GLG Event Driven Alternative IN SEKH,52.8.IE00BJJNGY87,-3.18,-3.61,-0.01,,7.44,0.23,False,,,
323,Man GLG Event Driven Alternative IN USD,52.8.IE00BJJNGV56,3.79,-4.13,9.04,,8.07,1.15,False,,,
324,Man GLG Event Driven Alternative INFEURH,52.8.IE00BJBLGJ52,2.35,2.59,4.32,,3.02,1.57,False,,,
325,Man GLG Event Driven Alternative INF USD,52.8.IE00BJBLGK67,4.14,-3.74,9.48,,8.06,1.2,False,,,
326,Man GLG Event Driven Alternative INUEURH,52.8.IE00BK80LR53,2.19,2.39,4.11,,3.04,1.49,False,,,
327,Man GLG Event Driven AlternativeINXXEURH,52.8.IE00BMW96F54,2.02,2.2,,,,,False,,,
328,Man GLG Event Driven Alternative IU USD,52.8.IE00BL0BP158,5.51,-2.22,11.53,,8.24,1.43,False,,,
329,MontLake Burren GLB Arbtrg UCITS RtlPld$,52.8.IE00BVVB9M36,1.65,-1.53,,,,,False,,,
330,MontLake Burren GLB Arbtrg UCITS Fder B$,52.8.IE00BWGCG729,0.9,-7.67,3.64,2.07,8.14,0.44,False,,,
331,Neuberger Berman Event Drvn I5 GBP Dis H,52.8.IE000TEWJNL5,2.51,,,,,,False,,,
332,Neuberger Berman Event Drvn P GBP Acc H,52.8.IE000TQXBRW2,2.41,,,,,,False,,,
333,Pictet TR - Lotus E EUR Acc,52.8.LU2549858137,5.54,,,,,,False,,,
334,Pictet TR - Lotus HI USD Acc,52.8.LU2549859028,7.28,,,,,,False,,,
335,Pictet TR - Lotus HP USD Acc,52.8.LU2549859705,6.92,,,,,,False,,,
336,Pictet TR - Lotus I EUR Acc,52.8.LU2549859374,5.15,,,,,,False,,,
337,Pictet TR - Lotus I USD Acc,52.8.LU2549859531,5.22,,,,,,False,,,
338,Pictet TR - Lotus P EUR Acc,52.8.LU2549859887,4.84,,,,,,False,,,
339,Pictet TR - Lotus P USD Acc,52.8.LU2549859960,4.8,,,,,,False,,,
340,PrivilEdge Amber Event Eur I EUR Acc,52.8.LU2324335152,2.52,5.77,4.54,3.88,5.46,0.95,True,,4.93,1.07
341,PrivilEdge Amber Event Eur I USD SH A,52.8.LU2324335582,4.7,-0.22,,,,,True,,,
342,PrivilEdge Amber Event Eur M CHF SH Sd A,52.8.LU1840473067,5.19,7.39,,,,,False,,,
343,PrivilEdge Amber Event Eur M EUR Acc,52.8.LU1840468810,2.25,5.42,4.31,3.74,5.3,0.94,True,,4.64,1.06
344,PrivilEdge Amber Event Eur M EUR Sd Acc,52.8.LU1840469891,2.56,5.8,4.66,3.95,5.34,1.0,False,,5.0,1.06
345,PrivilEdge Amber Event Eur M GBP SH Sd A,52.8.LU1840474628,5.4,7.63,7.03,5.03,7.4,1.05,False,,7.2,1.01
346,PrivilEdge Amber Event Eur M USD SH Sd A,52.8.LU1840471442,4.33,-0.9,9.99,7.26,7.55,1.34,False,,6.23,0.3
347,PrivilEdge Amber Event Eur MA CHF SH,52.8.LU1840472176,5.2,7.88,8.13,7.34,5.74,1.42,True,,7.35,0.94
348,PrivilEdge Amber Event Eur M USD SH A,52.8.LU1840470550,4.04,-1.33,9.64,7.06,7.55,1.3,True,,5.87,0.29
349,PrivilEdge Amber Event Eur N EUR A,52.8.LU1840469032,2.38,5.6,4.47,3.84,5.33,0.96,True,,4.8,1.06
350,PrivilEdge Amber Event Eur N EUR Sd A,52.8.LU1840470048,2.77,6.06,5.01,4.28,5.43,1.04,False,,5.37,1.07
351,PrivilEdge Amber Event Eur N USD SH A,52.8.LU1840470717,4.18,-0.97,,,,,False,,,
352,PrivilEdge Amber Event Eur N USD SH Sd A,52.8.LU1840471798,4.63,-0.56,10.42,7.63,7.59,1.39,False,,6.69,0.3
353,PrivilEdge Amber Event Eur P EUR Acc,52.8.LU1840469206,2.13,5.19,3.85,,5.38,0.84,False,,4.23,1.06
354,PrivilEdge Amber Event Eur U EUR Sd Acc,,6.99,16.06,7.2,,8.73,,False,,3.76,1.17
355,Satellite Event-Driven UCITS A,52.8.LU1840467259,-0.73,0.03,-5.16,-7.24,11.16,-0.27,False,,,
356,UBS (Lux) ES O&CnrEvtDrvnUCITS(USD)P-acc,,4.79,-5.61,,,,,False,,,
357,Allianz Multi Asset L/S AT H2 EUR,52.8.LU1481687926,-5.18,-11.17,4.69,1.57,8.32,0.58,False,,5.23,-0.12
358,Allianz Multi Asset L/S I3 H2 EUR,52.8.LU1481688817,-4.47,-10.39,5.72,2.49,8.36,0.69,False,,6.21,-0.12
359,Alma Platinum IV Systematic Alpha I1C-E,52.8.LU0462954396,10.24,6.48,12.37,2.75,8.13,1.41,False,2.87,12.27,-0.3
360,Alma Platinum IV Systematic Alpha I5C-E,,7.2,9.96,-4.53,-2.77,7.92,-0.47,False,,-5.6,0.25
361,Alma Platinum IV Systematic Alpha R1C-E,52.8.LU0462954800,9.54,5.62,11.56,1.95,8.24,1.3,False,2.05,11.62,-0.32
362,Alma Platinum IV Systematic Alpha R5C-E,52.8.LU1306442366,3.58,0.89,,,,,False,,,
363,Alma Platinum IV Systematic Alpha R6C-E,52.8.LU1125015922,10.11,6.29,12.22,2.6,8.17,1.39,False,,12.17,-0.31
364,Amundi Metori Epsilon GlobalTrndAEUR,52.8.IE00B61N8946,-4.46,-9.39,2.16,4.09,9.67,0.21,False,5.58,2.89,-0.32
365,Amundi Metori Epsilon GlobalTrndI,52.8.IE00B643RZ01,-3.88,-8.74,2.82,4.74,9.63,0.28,False,6.32,3.52,-0.31
366,Amundi/WNT Diversified I EUR,52.8.IE00BJVNJ924,5.47,-1.41,5.87,,9.84,0.53,False,,6.49,-0.48
367,AQR Mgd Futures UCITS B EUR,52.8.LU1103258197,,,,,9.06,-0.12,False,,1.77,-0.3
368,AQR Mgd Futures UCITS E EUR,52.8.LU1103258437,5.95,0.08,,,,,False,,,
369,AQR Mgd Futures UCITS IAE2F EUR,52.8.LU1662499612,,,,,,,False,,,
370,AQR Mgd Futures UCITS IAE3F EUR,,2.76,-2.63,,,,,False,,,
371,AQR Mgd Futures UCITS IAET EUR,52.8.LU1662498721,5.82,-0.03,,,,,False,,,
372,AQR Mgd Futures UCITS J EUR,,-2.17,0.83,-1.22,-3.15,7.78,0.12,False,,4.09,-0.33
373,AQR Mgd Futures UCITS M EUR,52.8.LU1542333007,,,,,,,False,,,
374,AQR Mgd Futures UCITS RAEF EUR,52.8.LU1662501532,6.67,0.23,,,,,False,,,
375,AQR Mgd Futures UCITS RAET EUR,52.8.LU1662500724,5.42,-0.54,8.47,,12.08,0.65,False,,9.73,-0.72
376,Aspect Diversified Trends T EUR Instl,52.8.IE00BFNXFY92,2.67,-2.23,13.96,,11.36,1.22,False,,15.62,-0.61
377,Candriam Diversified Futures Classique,52.8.FR0010794792,3.16,-0.34,6.96,9.28,9.33,0.69,False,3.94,6.85,-0.15
378,Candriam Diversified Futures I,52.8.FR0010813105,3.63,0.18,7.46,9.79,9.17,0.75,False,4.4,7.35,-0.17
379,Candriam Diversified Futures R,52.8.FR0013305190,3.6,0.08,,,,,False,,,
380,CS (Lux) Multi-Trend IBHP EUR,,8.56,14.82,2.47,,9.15,0.33,False,,4.6,-0.19
381,Echiquier QME A,52.8.FR0012815876,5.72,-0.45,4.14,3.7,8.03,0.44,False,,4.44,-0.35
382,Echiquier QME G,52.8.FR0013300076,5.92,-0.23,4.34,3.93,7.98,0.46,False,,4.63,-0.35
383,GS Alternative Trend I Acc EUR Hdg,52.8.LU1789207153,3.64,-1.32,7.6,4.85,9.82,0.71,False,,8.21,-0.45
384,GS Alternative Trend Oth Ccy Acc EUR Hdg,52.8.LU1103308554,3.04,-2.08,6.79,4.05,9.78,0.63,False,,7.41,-0.45
385,Man AHL Alpha Core Alt DN H EUR Acc,52.8.LU2563836241,,,,,,,False,,,
386,Man AHL Alpha Core Alt IN H EUR Acc,52.8.LU1039623316,1.86,-5.11,3.55,4.68,12.34,0.23,False,,3.81,-0.38
387,Man AHL Alpha Core Alt INW H EUR Acc,52.8.LU2398772652,2.02,-5.11,,,,,False,,,
388,Man AHL Target Growth Alt D H EUR Acc,52.8.IE00BNDVWW63,1.82,0.37,,,,,False,,,
389,Man AHL Target Growth Alt I H EUR Acc,52.8.IE00BNDVWX70,1.96,0.59,,,,,False,,,
390,Man AHL Trend Alternative DN H EUR Acc,52.8.LU0851818400,0.78,-7.06,5.39,6.4,14.73,0.35,False,,6.19,-0.36
391,Man AHL Trend Alternative DNK H EUR Acc,52.8.LU1554454246,1.27,-6.6,5.9,6.89,14.55,0.39,False,,6.65,-0.35
392,Man AHL Trend Alternative DNR H EUR Acc,52.8.LU1777195956,1.52,-6.36,5.5,6.06,14.34,0.37,False,,6.28,-0.37
393,Man AHL Trend Alternative DNY H EUR Acc,52.8.LU0424370004,0.6,-7.3,4.85,5.81,14.68,0.32,True,5.09,5.68,-0.36
394,Man AHL Trend Alternative IN H EUR Acc,52.8.LU0428380124,1.15,-6.72,5.63,6.55,14.52,0.37,False,5.8,6.39,-0.36
395,MontLake DUNN WMA Inst UCITS EUR Inst AP,52.8.IE00BYZJ5G02,0.69,-1.86,8.93,5.27,10.74,0.89,False,,10.87,-0.47
396,MontLake DUNN WMA Inst UCITS EUR Inst A,52.8.IE00B6R2T693,0.79,-1.99,9.34,5.58,10.98,0.91,False,,11.28,-0.48
397,MontLake DUNN WMA Inst UCITS EUR Inst BP,52.8.IE00BWVFLJ37,0.8,-2.07,9.71,5.77,11.1,0.94,False,,11.77,-0.5
398,MontLake DUNN WMA Inst UCITS EUR Inst DP,52.8.IE00BD5JQS21,0.78,-2.04,9.1,,10.59,0.92,False,,11.03,-0.48
399,MontLake DUNN WMA Inst UCITS EUR Inst D,,-6.25,4.05,4.94,,10.18,0.93,False,,10.98,-0.42
400,MontLake DUNN WMA Inst UCITS EUR Retl P,52.8.IE00BWVFLK42,0.18,-2.54,8.62,4.79,10.99,0.85,False,,10.63,-0.48
401,MontLake DUNN WMA Inst UCITS EUR Retl,52.8.IE00B6R2T818,0.33,-2.5,8.87,5.03,11.2,0.85,False,6.93,10.89,-0.48
402,Nomura Cross Asst Mom UCITS I EUR,52.8.IE00BZ1G5M86,5.63,-5.28,12.67,4.41,13.94,0.97,False,,14.72,-0.45
403,Nomura Cross Asst Mom UCITS S EUR,,-5.8,-7.59,-6.5,,9.22,-0.62,False,,-5.41,-0.18
404,PIMCO TRENDS Mgd Futs Stgy E EURH Acc,52.8.IE00BWX5WM13,-3.65,-14.07,2.33,1.94,10.36,0.15,False,,2.65,-0.4
405,PIMCO TRENDS Mgd Futs Stgy InsEURHAcc,52.8.IE00BWX5WY35,-2.75,-13.06,3.51,3.09,10.41,0.26,False,,3.77,-0.4
406,Quantica Managed Futures UCITS I1C-E,52.8.LU1869435039,3.43,-3.88,5.1,,12.28,0.47,False,,6.66,-0.34
407,Quantica Managed Futures UCITS I2C-E,52.8.LU1869435385,3.34,-4.0,4.94,,12.36,0.45,False,,6.56,-0.35
408,Quantica Managed Futures UCITS I3C-E,52.8.LU1869435542,4.06,-4.42,5.91,,13.11,0.5,False,,7.66,-0.39
409,Quantica Managed Futures UCITS I4C-E,52.8.LU1869436193,3.72,-4.05,5.53,,12.66,0.49,False,,7.18,-0.37
410,Quantica Managed Futures UCITS I5C-E,52.8.LU1869436359,-2.76,-3.17,4.27,,13.02,0.29,False,,5.45,-0.35
411,Quantica Managed Futures UCITS R1C-E,52.8.LU1869434651,2.85,-4.83,4.09,,12.45,0.38,False,,5.72,-0.34
412,Schroder GAIA BlueTrend A Acc EUR Hedged,52.8.LU1293073745,-5.41,-11.67,10.51,8.53,16.05,0.66,False,,12.23,-0.58
413,Schroder GAIA BlueTrend C Acc EUR Hedged,52.8.LU1293073828,-4.95,-11.13,11.08,9.2,16.06,0.69,False,,12.76,-0.58
414,Schroder GAIA BlueTrend E Acc EUR Hedged,52.8.LU1293074040,-4.93,-11.12,10.94,9.19,15.79,0.69,False,,12.54,-0.57
415,Schroder GAIA BlueTrend N Acc EUR Hedged,52.8.LU2343864927,-4.93,-11.09,,,,,False,,,
416,SEB Asset Selection C,52.8.LU0256624742,-1.31,-9.55,8.53,4.2,10.85,0.8,False,3.38,9.5,-0.26
417,SEB Asset Selection GC,52.8.LU0454773630,-1.84,-10.14,8.18,3.73,11.01,0.76,True,2.87,9.22,-0.27
418,SEB Asset Selection IC EUR,52.8.LU1312078915,-0.85,-9.01,8.68,4.54,10.62,0.83,False,,9.6,-0.25
419,Struct GS Cross Asset Trend E EUR H Acc,52.8.LU1787044947,4.18,-0.81,,,,,False,,,
420,THEAM Quant-Multi Asset Dvrs C EUR Cap,52.8.LU1353183533,-6.23,-19.33,-0.54,-3.65,10.54,0.08,True,0.1,0.82,0.01
421,THEAM Quant-Multi Asset Dvrs I EUR Cap,52.8.LU1353185074,-5.48,-18.52,0.45,-2.69,10.54,0.17,True,1.05,1.81,0.01
422,ASG Managed Futures H-I/A EUR,52.8.LU1429557090,-2.95,-10.3,,,,,False,,,
423,ASG Managed Futures H-R/A EUR,52.8.LU1429557504,-3.38,-10.82,7.24,5.92,13.21,0.55,False,,8.83,-0.56
424,Winton Trend UCITS I EUR Acc,52.8.IE00BG382R37,4.54,-1.01,11.41,7.45,9.96,1.09,False,,12.03,-0.4
425,Winton Trend UCITS I-P EUR Acc,52.8.IE00BG382T50,4.48,-1.08,11.33,7.38,9.95,1.09,False,,11.96,-0.4
426,Alma Platinum IV Systematic Alpha R1C-G,52.8.LU0462955013,12.98,8.18,14.3,3.29,9.1,1.46,False,2.72,,
427,AQR Mgd Futures UCITS C GBP,52.8.LU1103258270,9.46,2.01,11.84,6.2,12.89,0.86,False,,,
428,AQR Mgd Futures UCITS D CHF,,2.43,11.33,-3.71,,9.47,,False,,,
429,AQR Mgd Futures UCITS F GBP,52.8.LU1103258510,9.44,2.31,12.05,6.31,12.52,0.89,False,,,
